epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,2388.59,1.89577,1.18595,0.97168,0.58705,0.35616,0.39986,0.16069,2.44989,1.9904,1.29895,0.0010298,0.0010298,0.0010298
100,2409.18,1.88719,1.19279,1.00363,0.61864,0.36986,0.4198,0.17221,2.42655,1.68567,1.30311,0.0010199,0.0010199,0.0010199
101,2427.66,1.88346,1.17246,0.97816,0.68474,0.35616,0.40709,0.16849,2.18021,1.45401,1.20931,0.00101,0.00101,0.00101
102,2447.13,1.90839,1.1885,0.99808,0.62446,0.38724,0.41948,0.17251,2.42515,1.66031,1.27423,0.0010001,0.0010001,0.0010001
103,2466.3,1.90607,1.21192,0.98269,0.63536,0.3516,0.38986,0.156,2.48618,1.6084,1.3062,0.0009902,0.0009902,0.0009902
104,2485.41,1.88918,1.17258,0.96272,0.59726,0.38813,0.39851,0.15413,2.26499,1.77572,1.2195,0.0009803,0.0009803,0.0009803
105,2504.62,1.90741,1.20061,0.98042,0.596,0.379,0.38862,0.1543,2.55235,1.98602,1.37488,0.0009704,0.0009704,0.0009704
106,2523.45,1.90408,1.17729,0.96459,0.70736,0.36423,0.42569,0.1756,2.36274,1.42247,1.22568,0.0009605,0.0009605,0.0009605
107,2542.56,1.86767,1.18005,0.95715,0.56584,0.39277,0.40215,0.15578,2.19656,1.6632,1.20027,0.0009506,0.0009506,0.0009506
108,2561.99,1.86573,1.17562,0.96455,0.60501,0.3637,0.41207,0.16893,2.25948,1.53313,1.21319,0.0009407,0.0009407,0.0009407
109,2580.89,1.86594,1.17213,0.97538,0.53248,0.38356,0.35699,0.13863,1.92769,2.43255,1.19483,0.0009308,0.0009308,0.0009308
110,2600.69,1.86739,1.15985,0.96579,0.56877,0.34703,0.36381,0.14293,2.49335,1.59073,1.37331,0.0009209,0.0009209,0.0009209
111,2621.22,1.89677,1.19283,0.95983,0.68408,0.3516,0.39737,0.14951,2.18858,1.80289,1.23549,0.000911,0.000911,0.000911
112,2640.15,1.86598,1.17117,0.96235,0.58288,0.379,0.41076,0.17238,2.34456,1.61367,1.2767,0.0009011,0.0009011,0.0009011
113,2660.07,1.85332,1.16763,0.97097,0.66408,0.36108,0.40666,0.16105,2.28267,1.4436,1.22361,0.0008912,0.0008912,0.0008912
114,2678.24,1.89436,1.19865,0.96427,0.63342,0.36986,0.41281,0.15097,2.3985,1.65551,1.36313,0.0008813,0.0008813,0.0008813
115,2697.83,1.89608,1.20126,0.9632,0.69665,0.379,0.40492,0.15224,2.27424,1.74241,1.25948,0.0008714,0.0008714,0.0008714
116,2716.6,1.89347,1.15586,0.94004,0.60348,0.40309,0.43501,0.17275,2.15039,1.9312,1.15224,0.0008615,0.0008615,0.0008615
117,2735.5,1.91715,1.17091,0.94862,0.68533,0.32877,0.41516,0.16379,2.42627,1.4918,1.24981,0.0008516,0.0008516,0.0008516
118,2754.45,1.82256,1.11909,0.94831,0.75301,0.35616,0.42671,0.16886,2.40011,1.34835,1.27326,0.0008417,0.0008417,0.0008417
119,2774.31,1.85373,1.12354,0.97225,0.68431,0.379,0.40319,0.15639,2.15255,1.49494,1.17349,0.0008318,0.0008318,0.0008318
120,2793.37,1.81962,1.13479,0.96609,0.70431,0.35616,0.40149,0.15969,2.37599,1.58815,1.24778,0.0008219,0.0008219,0.0008219
121,2812.39,1.78415,1.09201,0.95493,0.66287,0.3653,0.40954,0.16079,2.29482,1.57283,1.19951,0.000812,0.000812,0.000812
122,2831.54,1.87773,1.14191,0.96889,0.66306,0.36986,0.41566,0.16541,2.32658,1.4148,1.21122,0.0008021,0.0008021,0.0008021
123,2850.38,1.83851,1.09603,0.94214,0.71705,0.3516,0.41362,0.17163,2.3919,1.32323,1.27199,0.0007922,0.0007922,0.0007922
124,2869.31,1.78785,1.09171,0.95415,0.64289,0.379,0.41658,0.16878,2.30806,1.3062,1.25158,0.0007823,0.0007823,0.0007823
125,2889.58,1.80424,1.10709,0.96231,0.6521,0.35616,0.40216,0.16901,2.51382,1.42036,1.37346,0.0007724,0.0007724,0.0007724
126,2908.93,1.90041,1.18611,0.96639,0.633,0.36986,0.38523,0.16563,2.45551,1.4652,1.30709,0.0007625,0.0007625,0.0007625
127,2928.17,1.81786,1.11503,0.95764,0.65472,0.36073,0.41138,0.15642,2.45976,1.93425,1.32082,0.0007526,0.0007526,0.0007526
128,2947.1,1.88158,1.15625,0.9562,0.65719,0.379,0.4011,0.15975,2.60764,1.93974,1.35667,0.0007427,0.0007427,0.0007427
129,2965.85,1.85487,1.1225,0.94434,0.62833,0.38813,0.41177,0.16565,2.64504,1.74275,1.40733,0.0007328,0.0007328,0.0007328
130,2984.48,1.78972,1.07969,0.93804,0.69226,0.379,0.42607,0.17208,2.53266,1.69095,1.4048,0.0007229,0.0007229,0.0007229
131,3004.24,1.81944,1.13833,0.95561,0.61617,0.36073,0.39054,0.16311,2.35379,1.34793,1.28095,0.000713,0.000713,0.000713
132,3022.3,1.82364,1.10684,0.94009,0.62845,0.39269,0.439,0.16934,2.70583,1.613,1.48897,0.0007031,0.0007031,0.0007031
133,3041.27,1.82181,1.11284,0.96017,0.66678,0.35635,0.41965,0.17099,2.67454,1.64226,1.3822,0.0006932,0.0006932,0.0006932
134,3061.04,1.79705,1.09165,0.97157,0.61561,0.36565,0.40579,0.16461,2.69407,1.55395,1.40955,0.0006833,0.0006833,0.0006833
135,3080.31,1.78851,1.09784,0.94978,0.62915,0.37184,0.4064,0.16286,2.29224,1.65874,1.25764,0.0006734,0.0006734,0.0006734
136,3098.89,1.83012,1.12169,0.94451,0.55749,0.39119,0.40635,0.16426,2.34316,1.39664,1.26335,0.0006635,0.0006635,0.0006635
137,3118.33,1.80157,1.11663,0.95379,0.69693,0.3379,0.4209,0.1646,2.42346,1.49294,1.30289,0.0006536,0.0006536,0.0006536
138,3137.33,1.80816,1.12563,0.9649,0.60576,0.38356,0.40352,0.15859,2.39457,1.71906,1.32512,0.0006437,0.0006437,0.0006437
139,3156.41,1.82889,1.09422,0.95531,0.6185,0.39269,0.40963,0.16607,2.51709,1.55684,1.36234,0.0006338,0.0006338,0.0006338
140,3175.32,1.83436,1.14126,0.93877,0.59798,0.42466,0.43218,0.16645,2.36994,1.53422,1.28054,0.0006239,0.0006239,0.0006239
141,3194.53,1.77619,1.06183,0.9437,0.59615,0.37443,0.42322,0.16663,2.50538,1.50178,1.38538,0.000614,0.000614,0.000614
142,3213.28,1.80797,1.08809,0.94183,0.64927,0.40183,0.4271,0.1707,2.44773,1.24581,1.36383,0.0006041,0.0006041,0.0006041
143,3233.08,1.8065,1.13337,0.95494,0.61195,0.36986,0.40128,0.16608,2.435,1.38819,1.30552,0.0005942,0.0005942,0.0005942
144,3251.97,1.79937,1.09017,0.94906,0.59007,0.3653,0.40288,0.16874,2.44315,1.42988,1.34561,0.0005843,0.0005843,0.0005843
145,3271.6,1.82895,1.10711,0.94625,0.71506,0.3516,0.41496,0.17157,2.48754,1.54472,1.36645,0.0005744,0.0005744,0.0005744
146,3289.99,1.81369,1.10477,0.94705,0.65462,0.34703,0.39862,0.16081,2.39929,1.62748,1.36169,0.0005645,0.0005645,0.0005645
147,3308.87,1.77742,1.06511,0.93717,0.67018,0.36986,0.42942,0.16746,2.5113,1.59779,1.38559,0.0005546,0.0005546,0.0005546
148,3327.94,1.78846,1.08707,0.94911,0.55986,0.41553,0.42769,0.17906,2.61758,1.53724,1.43955,0.0005447,0.0005447,0.0005447
149,3346.73,1.81977,1.09242,0.94369,0.60616,0.37443,0.42096,0.17835,2.62426,1.49716,1.43245,0.0005348,0.0005348,0.0005348
150,3365.25,1.78853,1.0836,0.93064,0.61945,0.41096,0.43822,0.17409,2.68102,1.54672,1.50772,0.0005249,0.0005249,0.0005249
151,3384.34,1.76374,1.06501,0.93306,0.68935,0.379,0.42905,0.18336,2.48909,1.29934,1.46431,0.000515,0.000515,0.000515
152,3403.19,1.75854,1.05947,0.94259,0.74818,0.37987,0.44954,0.18405,2.50022,1.36965,1.37341,0.0005051,0.0005051,0.0005051
153,3422.25,1.74658,1.03003,0.92261,0.66186,0.40639,0.44523,0.18105,2.55758,1.44128,1.44152,0.0004952,0.0004952,0.0004952
154,3440.57,1.76325,1.0696,0.93372,0.70768,0.34703,0.41438,0.1665,2.63359,1.41146,1.41022,0.0004853,0.0004853,0.0004853
155,3459.65,1.76222,1.07098,0.93517,0.77139,0.35616,0.43275,0.18079,2.56221,1.37122,1.38019,0.0004754,0.0004754,0.0004754
